Pair,Colex_freq_group,Associativity,Familiarity,Concreteness
"('HOLD', 'PULL')",1,0.0055,580.5,56.0
"('CALF', 'LEG')",1,0.0605,550.0,34.0
"('LAMB', 'SHEEP')",1,0.2475,513.0,11.0
"('GO', 'MOVE')",1,0.036000000000000004,595.0,53.0
"('SOUL', 'SPIRIT')",1,0.097,531.0,7.0
"('MOUSE', 'RAT')",1,0.2025,534.0,0.0
"('LEATHER', 'SKIN')",1,0.012,581.0,39.0
"('RIVER', 'VALLEY')",1,0.02,540.0,10.0
"('BAD', 'HATE')",1,0.0085,572.0,27.0
"('HAPPY', 'LOVE')",1,0.014,620.0,44.0
"('COMMAND', 'TELL')",1,0.0275,561.0,71.0
"('EYE', 'FACE')",1,0.012,611.5,35.0
"('BECAUSE', 'WHY')",1,0.4605,596.5,71.0
"('KETTLE', 'POT')",1,0.1315,564.0,18.0
"('BEAT', 'FIGHT')",1,0.011,548.5,94.0
"('LOOK', 'SEEM')",1,0.0085,578.0,150.0
"('ANGER', 'HATE')",1,0.0685,546.5,20.0
"('SIDE', 'TOP')",1,0.0215,568.5,41.0
"('CLOTHES', 'WEAR')",1,0.2975,594.0,240.0
"('COTTON', 'SHEEP')",1,0.007,514.0,14.0
"('PAIR', 'TWO')",1,0.245,570.0,6.0
"('FAMILY', 'HOME')",1,0.081,616.5,14.0
"('FLESH', 'MEAT')",1,0.047,536.0,10.0
"('BURN', 'HOT')",1,0.0405,577.5,17.0
"('INSECT', 'WORM')",1,0.006,520.0,18.0
"('DRINK', 'WATER')",1,0.1595,634.5,67.0
"('COUSIN', 'FRIEND')",1,0.03,559.0,52.0
"('COTTON', 'WOOL')",1,0.052500000000000005,530.5,0.0
"('SPEECH', 'VOICE')",1,0.01,572.5,32.0
"('FIRE', 'FOUR')",1,0.01,566.5,230.0
"('TIME', 'WHEN')",1,0.0525,606.5,124.0
"('LOBSTER', 'RED')",1,0.0415,539.5,89.0
"('CHAIR', 'SIT')",1,0.1975,599.0,169.0
"('FOUR', 'THREE')",1,0.243,567.0,74.0
"('KEEP', 'OWN')",1,0.016,591.0,22.0
"('FEEL', 'PITY')",1,0.007,552.0,21.0
"('AFTER', 'BEFORE')",1,0.715,579.0,19.0
"('GOVERNMENT', 'RULE')",1,0.02,564.0,140.0
"('CLOUD', 'DUST')",1,0.007,555.5,4.0
"('GET', 'TAKE')",1,0.08449999999999999,579.5,42.0
"('LIKE', 'LOVE')",1,0.1895,614.5,25.0
